SIGLA,UO
ALE,01001
TC,01002
AFUNCONTAS,01500
FUNCONTAS,01500
ESCOLA DE CONTAS,01503
FUNDO ESP TC,01504
FUNEC,01504
TJ,02003
FUNJURIS,02501
FUNDESMAL,02561
MP,03004
FEMPEAL,03554
GC,11006
CGE,11008
PGE,11009
DPE,11011
GVG,11013
GOVERNANCA,11015
FUNDEFENSORIA,11502
ARSAL,11504
FUNPGE,11564
SEPLAG,13017
CARHP,13510
FUNDO RH,13511
CEPAL,13530
AMGESP,13548
IPASEAL,13551
ALPREV,13569
FUNPREV,13570
FUNFIN,13571
FUNMIL,13572
SEAGRI,14030
IDERAL,14528
FUNDERAL,14536
ITERAL,14541
ADEAL,14555
EMATER,14566
SEADES,15024
FEAS,15526
SECTI,16026
ITEC,16506
FAPEAL,16514
FUNDECTES,16531
INMEQ,16537
INMEQ/AL,16537
SECOM,17010
IZP,17517
SECULT,18021
DITEAL,18520
FUNCULTURA,18557
SSP,19033
PM,19034
PC,19035
CBM,19036
POAL,19047
CEDEC,19049
DETRAN,19512
FUNESP,19563
FUNDEC,19565
SEDUC,20020
UNEAL,20516
SEFAZ,21018
FUNSEFAZ,21513
ALAGOAS ATIVOS,21515
SEMARH,23032
IMA,23542
FRHIDRICOS,23543
SEMUDH,24037
SECDEF,24038
FUNPROCON,24547
PROCON,24573
FEDIM,24574
SEINFRA,26031
CASAL,26537
SERVEAL,26539
FERIS,26562
SESAU,27023
FES,27524
LIFAL,27527
UNCISAL,27556
SETEQ,28027
FTAL,28507
SEDETUR,29028
SEDICS,29031
SETUR,29032
AFAL,29505
ALGÁS,29529
FUNERC,29534
JUCEAL,29538
FUNTURIS,29553
SEPREV,30041
FIA,30545
FEPAD,30567
SERIS,34051
FUNPEAL,34568
SETRAND,35032
DER,35538
SELAJ,36021
FUNESPORTE,36522
SEGOV,37001
PRODUBAN,41516
SETFIN,90003
ENC. GERAIS,91997
RC,99999
